cycle,acc_0_0,acc_0_1,acc_0_2,acc_0_3,acc_1_0,acc_1_1,acc_1_2,acc_1_3,acc_2_0,acc_2_1,acc_2_2,acc_2_3,acc_3_0,acc_3_1,acc_3_2,acc_3_3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
3,14,17,9,0,17,25,0,0,9,0,0,0,0,0,0,0
4,30,38,29,13,38,61,45,0,29,45,0,0,13,0,0,0
5,30,70,62,41,70,110,105,65,62,105,81,0,41,65,0,0
6,30,70,110,86,70,174,182,149,110,182,181,117,86,149,117,0
7,30,70,110,150,70,174,278,254,110,278,302,257,150,254,257,169
8,30,70,110,150,70,174,278,382,110,278,446,422,150,382,422,365
9,30,70,110,150,70,174,278,382,110,278,446,614,150,382,614,590
10,30,70,110,150,70,174,278,382,110,278,446,614,150,382,614,846
