cycle,acc_0_0,acc_0_1,acc_0_2,acc_0_3,acc_1_0,acc_1_1,acc_1_2,acc_1_3,acc_2_0,acc_2_1,acc_2_2,acc_2_3,acc_3_0,acc_3_1,acc_3_2,acc_3_3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2147483648,1073741824,0,0,1073741824,0,0,0,0,0,0,0,0,0,0,0
3,3221225472,2147483648,1073741824,0,2147483648,1073741824,0,0,1073741824,0,0,0,0,0,0,0
4,4294967296,3221225472,2147483648,1073741824,3221225472,2147483648,1073741824,0,2147483648,1073741824,0,0,1073741824,0,0,0
5,4294967296,4294967296,3221225472,2147483648,4294967296,3221225472,2147483648,1073741824,3221225472,2147483648,1073741824,0,2147483648,1073741824,0,0
6,4294967296,4294967296,4294967296,3221225472,4294967296,4294967296,3221225472,2147483648,4294967296,3221225472,2147483648,1073741824,3221225472,2147483648,1073741824,0
7,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,3221225472,4294967296,4294967296,3221225472,2147483648,4294967296,3221225472,2147483648,1073741824
8,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,3221225472,4294967296,4294967296,3221225472,2147483648
9,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,3221225472
10,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296,4294967296
