cycle,acc_0_0,acc_0_1,acc_0_2,acc_0_3,acc_1_0,acc_1_1,acc_1_2,acc_1_3,acc_2_0,acc_2_1,acc_2_2,acc_2_3,acc_3_0,acc_3_1,acc_3_2,acc_3_3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-1758,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-1758,774,16722,0,-30484,0,0,0,0,0,0,0,0,0,0,0
4,-1758,774,16722,29521,-30484,-23321,0,0,0,0,0,0,0,0,0,0
5,-1758,774,16722,29521,-30484,-23321,21164,0,-16435,0,0,0,0,0,0,0
6,-1758,774,16722,29521,-30484,-23321,21164,29402,-16435,-12332,0,0,0,0,0,0
7,-1758,774,16722,29521,-30484,-23321,21164,29402,-16435,-12332,24184,0,-14866,0,0,0
8,-1758,774,16722,29521,-30484,-23321,21164,29402,-16435,-12332,24184,-5025,-14866,21476,0,0
9,-1758,774,16722,29521,-30484,-23321,21164,29402,-16435,-12332,24184,-5025,-14866,21476,-15926,0
10,-1758,774,16722,29521,-30484,-23321,21164,29402,-16435,-12332,24184,-5025,-14866,21476,-15926,-5951
