cycle,acc_0_0,acc_0_1,acc_0_2,acc_0_3,acc_1_0,acc_1_1,acc_1_2,acc_1_3,acc_2_0,acc_2_1,acc_2_2,acc_2_3,acc_3_0,acc_3_1,acc_3_2,acc_3_3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,3,2,1,0,2,1,0,0,1,0,0,0,0,0,0,0
4,4,3,2,1,3,2,1,0,2,1,0,0,1,0,0,0
5,4,4,3,2,4,3,2,1,3,2,1,0,2,1,0,0
6,4,4,4,3,4,4,3,2,4,3,2,1,3,2,1,0
7,4,4,4,4,4,4,4,3,4,4,3,2,4,3,2,1
8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,2
9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
